"TOA5","draker_prospector","CR1000","38934","CR1000.Std.25","CPU:prospector.CR1","13672","panelControl"
"TIMESTAMP","RECORD","pnl_control_modem_override","pnl_control_modem_disabled","pnl_control_heater_timer","pnl_control_daytime","pnl_control_sunrise","pnl_control_sunset","pnl_control_check_ntp","PortStatus","SW12Volts","Battery"
"TS","RN","Min","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-08-31 02:05:00",508,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:06:00",509,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:07:00",510,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:08:00",511,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:09:00",512,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:10:00",513,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:11:00",514,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:12:00",515,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:13:00",516,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:14:00",517,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:15:00",518,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:16:00",519,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:17:00",520,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:18:00",521,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:19:00",522,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:20:00",523,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:21:00",524,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:22:00",525,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:23:00",526,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:24:00",527,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:25:00",528,0,-1,0,0,0,0,0,-1,0,12.94428
"2012-08-31 02:26:00",529,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:27:00",530,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:28:00",531,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:29:00",532,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:30:00",533,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:31:00",534,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:32:00",535,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:33:00",536,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:34:00",537,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:35:00",538,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:36:00",539,0,-1,0,0,0,0,0,-1,0,12.93881
"2012-08-31 02:37:00",540,0,-1,0,0,0,0,0,-1,0,12.93333
